"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4258","search with no match shows No Records Found","admin","2026-03-20","failed","2026-03-20","PIM — Employee Management","pim/employee.spec.ts","",""
"","4612","leave list page loads","admin","2026-03-20","passed","2026-03-20","Leave — Admin View","leave/leave.spec.ts","",""
"","5174","valid admin credentials redirect to dashboard","no-auth","2026-03-20","passed","2026-03-20","Login","login.spec.ts","",""
"","20385","admin can add a new system user","admin","2026-03-20","failed","2026-03-20","Admin — User Management","admin/user.spec.ts","",""
"","3540","Add Employee page loads with form fields visible","admin","2026-03-20","passed","2026-03-20","PIM — Employee Management","pim/employee.spec.ts","",""
"","3619","employee list page loads with Add button visible","admin","2026-03-20","passed","2026-03-20","PIM — Employee Management","pim/employee.spec.ts","",""
"","8199","ESS user can navigate to apply leave page","ess","2026-03-20","failed","2026-03-20","Leave — Apply (ESS User)","leave/apply.spec.ts","",""
"","4406","invalid username shows error message","no-auth","2026-03-20","passed","2026-03-20","Login","login.spec.ts","",""
"","9257","leave application form has required fields visible","ess","2026-03-20","failed","2026-03-20","Leave — Apply (ESS User)","leave/apply.spec.ts","",""
"","4612","employee appears in the Employee List after creation","admin","2026-03-20","passed","2026-03-20","PIM — Employee Management","pim/employee.spec.ts","",""
"","8274","empty username shows required field error","no-auth","2026-03-20","failed","2026-03-20","Login","login.spec.ts","",""
"","3546","user management list loads with Add button visible","admin","2026-03-20","passed","2026-03-20","Admin — User Management","admin/user.spec.ts","",""
"","9090","newly created user appears in user management list","admin","2026-03-20","failed","2026-03-20","Admin — User Management","admin/user.spec.ts","",""
"","5087","invalid password shows error message","no-auth","2026-03-20","passed","2026-03-20","Login","login.spec.ts","",""
